Unnamed: 0,Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,Difficulty,Junior,Senior,CT,Rider_x,Fall,Horse_x,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,wgust-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate,Fall_Rate_Decimal,Fall_Rate_Percent
39438,Open Starter,Catalpa Corner Charity Horse Trial,Stephanie Caston,Notorious B.I.G.,30.3,3,1,0,0,30.3,0,4:33,0,30.3,1,1,0,0,0,Stephanie Caston,0,,-91.41017,41.71473,76.8,0.0,8.4,9.9,0.0,12.8,0.03,0.0,0.2,0.24,10,172,0.05813953488372093,0.05813953488372093,5.813953488372093
39628,Advanced,Millbrook H.T.(Aug 2019),Will Faudree,PFun,29.1,6,1,0,0,29.1,0,6:12,0,29.1,1,7,0,0,0,Will Faudree,0,PFun,-73.61338,41.86105,71.8,0.0,8.1,8.7,7.0,,1.0,0.13,0.13,0.13,15,377,0.03978779840848806,0.03978779840848806,3.978779840848806
42813,Novice Horse-A,Fair Hill International June Starter HT,Elissa Ogburn,Land Run,26.7,2,0,0,26.7,1,0,5:00,0,26.7,1,3,0,0,0,Elissa Ogburn,0,Land Run,-75.86013,39.70171,76.2,0.36,12.7,9.8,5.8,48.3,0.92,0.03,0.03,0.03,5,146,0.03424657534246575,0.03424657534246575,3.4246575342465753
43743,Junior Preliminary Rider,Stable View Summer Horse Trials,Claire Howard,Euro Star,31.1,1,0,0,31.1,1,0,4:50,2.4,33.5,1,5,1,0,0,Claire Howard,0,Euro Star,-81.79998,33.64859000000001,76.3,0.12,27.5,9.7,15.1,39.8,0.6,0.22,0.41,0.41,4,145,0.027586206896551724,0.027586206896551724,2.7586206896551726
43890,Advanced,Essex Horse Trials,William Coleman,Obos O'Reilly,31.7,9,4,0,35.7,1,0,5:07,6.4,42.1,1,7,0,0,0,William Coleman,0,,-74.63613000000002,40.68475,70.8,0.34,16.6,8.5,49.0,27.2,0.56,1.43,1.45,1.45,9,272,0.03308823529411765,0.03308823529411765,3.308823529411765
44395,CCI 2 Star Long,Fox River Valley Pony Club HT,Hannah Hubsch,Bethel Park,31.8,2,1,0,0,31.8,0,7:06,0,31.8,1,5,0,0,0,Hannah Hubsch,0,Bethel Park,-88.22379000000002,42.14542,62.5,0.34,13.5,8.8,72.9,18.3,0.53,0.09,0.32,0.52,11,244,0.045081967213114756,0.045081967213114756,4.508196721311475
45444,Intermediate/Preliminary,Full Gallop Farm June Horse Trials,Nilson Moreira da Silva,Fernhill Rock Phantom,33.2,1,0,0,33.2,1,0,5:29,13.6,46.8,1,6,0,0,0,Nilson Moreira da Silva,0,,-81.58405,33.57045,70.8,0.0,5.8,9.9,0.2,,0.47,0.85,1.46,3.66,2,62,0.03225806451612903,0.03225806451612903,3.225806451612903
45602,Training Horse,Plantation Field June Starter Horse Trials,Lillian Heard,Chilly,26.2,1,0,0,26.2,1,0,1:00,0,26.2,1,4,0,0,0,Lillian Heard,0,Chilly,-75.78744,39.90874,67.7,0.0,10.1,9.9,4.1,26.4,0.51,1.12,1.4600000000000002,1.4600000000000002,1,145,0.006896551724137931,0.006896551724137931,0.6896551724137931
45747,Open Intermediate,Plantation Field H.T.(June 2019),Kristine Burgess,Twoggeron,34.7,2,4,1.2,39.9,3,0,5:49,1.2,41.1,1,6,0,0,0,Kristine Burgess,0,Twoggeron,-75.78744,39.90874,68.5,0.0,15.5,9.8,0.3,23.0,0.13,0.12,0.12,0.34,1,149,0.006711409395973154,0.006711409395973154,0.6711409395973155
46159,Open Preliminary,Feather Creek Farm H.T.(Aug 2019),Emelie Lesher,Hotshot,30.2,1,4,0,34.2,2,0,5:16,10.4,44.6,1,5,0,0,0,Emelie Lesher,0,Hotshot,-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,27.5,0.02,0.04,0.04,0.04,2,63,0.031746031746031744,0.031746031746031744,3.1746031746031744
